cycle, time, dist_travelled, sf, vel, acc, req_ped, req_acc, req_vel, C0, C1, C2, C3, C4, C5, T, vehX, vehY, slope, intercept;
1, 0.049, 0, 160, -8.83774e-08, -1.76755e-06, 0.3, 5, 0.0874051, 0, -8.83774e-08, -1.76755e-06, 7.28178, -4.66034, 0.994205, 4.6875, 0, 0, 0.00590376, -0.0717659;
2, 0.099, 0.000926941, 159.999, 0.0567678, 1.13536, 0.481879, 5, 0.208358, 0, 0.0567678, 1.13536, 6.51977, -4.4831, 0.989517, 4.53059, 0.000926941, 3.83147e-08, 0.00590376, -0.0717659;
3, 0.149, 0.00633821, 159.994, 0.197924, 2.82313, 0.573845, 5, 0.445441, 0, 0.197924, 2.82313, 5.21884, -4.07729, 0.943666, 4.32069, 0.00633821, 5.892e-07, 0.00590376, -0.0717659;
4, 0.199, 0.0195181, 159.98, 0.270531, 1.45213, 0.764948, 5, 0.442176, 0, 0.270531, 1.45213, 6.32389, -4.47835, 1.00531, 4.45467, 0.0195181, 2.10983e-06, 0.00590376, -0.0717659;
5, 0.249, 0.0422677, 159.958, 0.506779, 4.72498, 0.745971, 5, 0.864094, 0, 0.506779, 4.72498, 3.51436, -3.41458, 0.832795, 4.10014, 0.0422677, 4.81147e-06, 0.00590376, -0.0717659;
6, 0.299, 0.0777822, 159.922, 0.729782, 4.46006, 0.775617, 5, 1.07494, 0, 0.729782, 4.46006, 3.7618, -3.55861, 0.869972, 4.09049, 0.0777822, 9.24893e-06, 0.00590376, -0.0717659;
7, 0.349, 0.126358, 159.874, 1.03657, 5, 0.770218, 5, 1.41564, 0, 1.03657, 5, 3.21678, -3.34504, 0.835278, 4.00471, 0.126358, 1.5634e-05, 0.00590376, -0.0717659;
8, 0.399, 0.188013, 159.812, 1.39749, 5, 0.770218, 5, 1.78105, 0, 1.39749, 5, 3.1884, -3.37589, 0.853265, 3.95644, 0.188013, 2.43347e-05, 0.00590376, -0.0717659;
9, 0.449, 0.262859, 159.737, 1.72586, 5, 0.770218, 5, 2.11357, 0, 1.72586, 5, 3.15756, -3.4, 0.868805, 3.91342, 0.262859, 3.57869e-05, 0.00590376, -0.0717659;
10, 0.499, 0.351098, 159.649, 1.994, 5, 0.770218, 5, 2.38514, 0, 1.994, 5, 3.12872, -3.41673, 0.880844, 3.87892, 0.351098, 5.05551e-05, 0.00590376, -0.0717659;
